Sampler,Benchmark,Spearman_rho,Spearman_p,Best_tau,Best_acc
AS,W5,-0.6458561330552778,0.00011586594968286143,0.5500559999999999,1.0
ASBS,W5,-0.6458561330552778,0.00011586594968286143,0.5096614,1.0
AS,C5,0.1251621121570517,0.5098890037065772,0.35844770000000004,0.8
ASBS,C5,0.03851141912524668,0.8398796385976307,0.38243820000000006,0.8
AS,B5,0.2571622153636106,0.17009877999437387,0.33760150000000005,0.9666666666666667
ASBS,B5,0.289631335424705,0.1205527608115716,0.33481550000000004,1.0
