sampler,benchmark,subset,eta_mult,eta_value,seed,classification
asbs,w5,S4,4.0,0.0041740463180548,1,no_escape
asbs,w5,S4,4.0,0.0041740463180548,2,no_escape
asbs,w5,S4,4.0,0.0041740463180548,3,no_escape
asbs,w5,S4,4.0,0.0041740463180548,4,no_escape
asbs,w5,S4,6.0,0.0062610694770822,0,no_escape
asbs,w5,S4,6.0,0.0062610694770822,1,no_escape
asbs,w5,S4,6.0,0.0062610694770822,2,no_escape
asbs,w5,S4,6.0,0.0062610694770822,3,no_escape
asbs,w5,S4,6.0,0.0062610694770822,4,no_escape
as,w5,S1,0.5,0.0006011698742269,0,no_escape
as,w5,S1,0.5,0.0006011698742269,1,no_escape
as,w5,S1,0.5,0.0006011698742269,2,no_escape
as,w5,S1,0.5,0.0006011698742269,3,no_escape
as,w5,S1,0.5,0.0006011698742269,4,no_escape
as,w5,S1,1.0,0.0012023397484538,0,no_escape
as,w5,S1,1.0,0.0012023397484538,1,no_escape
as,w5,S1,1.0,0.0012023397484538,2,no_escape
as,w5,S1,1.0,0.0012023397484538,3,no_escape
as,w5,S1,1.0,0.0012023397484538,4,no_escape
as,w5,S1,1.5,0.0018035096226807,0,no_escape
as,w5,S1,1.5,0.0018035096226807,1,no_escape
as,w5,S1,1.5,0.0018035096226807,2,no_escape
as,w5,S1,1.5,0.0018035096226807,3,no_escape
as,w5,S1,1.5,0.0018035096226807,4,no_escape
as,w5,S1,2.0,0.0024046794969076,0,no_escape
as,w5,S1,2.0,0.0024046794969076,1,no_escape
as,w5,S1,2.0,0.0024046794969076,2,no_escape
as,w5,S1,2.0,0.0024046794969076,3,no_escape
as,w5,S1,2.0,0.0024046794969076,4,no_escape
as,w5,S1,2.5,0.0030058493711345,0,no_escape
as,w5,S1,2.5,0.0030058493711345,1,no_escape
as,w5,S1,2.5,0.0030058493711345,2,no_escape
as,w5,S1,2.5,0.0030058493711345,3,no_escape
as,w5,S1,2.5,0.0030058493711345,4,no_escape
as,w5,S1,3.0,0.0036070192453614,0,no_escape
as,w5,S1,3.0,0.0036070192453614,1,no_escape
as,w5,S1,3.0,0.0036070192453614,2,no_escape
as,w5,S1,3.0,0.0036070192453614,3,no_escape
as,w5,S1,3.0,0.0036070192453614,4,no_escape
as,w5,S1,4.0,0.0048093589938152,0,no_escape
as,w5,S1,4.0,0.0048093589938152,1,no_escape
as,w5,S1,4.0,0.0048093589938152,2,no_escape
as,w5,S1,4.0,0.0048093589938152,3,no_escape
as,w5,S1,4.0,0.0048093589938152,4,no_escape
as,w5,S1,6.0,0.0072140384907228,0,no_escape
as,w5,S1,6.0,0.0072140384907228,1,no_escape
as,w5,S1,6.0,0.0072140384907228,2,no_escape
as,w5,S1,6.0,0.0072140384907228,3,no_escape
as,w5,S1,6.0,0.0072140384907228,4,no_escape
as,c5,S1,0.5,0.00060039032700235,0,no_escape
as,c5,S1,0.5,0.00060039032700235,1,no_escape
as,c5,S1,0.5,0.00060039032700235,2,no_escape
as,c5,S1,0.5,0.00060039032700235,3,no_escape
as,c5,S1,0.5,0.00060039032700235,4,no_escape
as,c5,S1,1.0,0.0012007806540047,0,no_escape
as,c5,S1,1.0,0.0012007806540047,1,no_escape
as,c5,S1,1.0,0.0012007806540047,2,no_escape
as,c5,S1,1.0,0.0012007806540047,3,no_escape
as,c5,S1,1.0,0.0012007806540047,4,no_escape
as,c5,S1,1.5,0.00180117098100705,0,no_escape
as,c5,S1,1.5,0.00180117098100705,1,no_escape
as,c5,S1,1.5,0.00180117098100705,2,no_escape
as,c5,S1,1.5,0.00180117098100705,3,no_escape
as,c5,S1,1.5,0.00180117098100705,4,no_escape
as,c5,S1,2.0,0.0024015613080094,0,no_escape
as,c5,S1,2.0,0.0024015613080094,1,no_escape
as,c5,S1,2.0,0.0024015613080094,2,no_escape
as,c5,S1,2.0,0.0024015613080094,3,no_escape
as,c5,S1,2.0,0.0024015613080094,4,no_escape
as,c5,S1,2.5,0.00300195163501175,0,no_escape
as,c5,S1,2.5,0.00300195163501175,1,no_escape
as,c5,S1,2.5,0.00300195163501175,2,no_escape
as,c5,S1,2.5,0.00300195163501175,3,no_escape
as,c5,S1,2.5,0.00300195163501175,4,no_escape
as,c5,S1,3.0,0.0036023419620141,0,no_escape
as,c5,S1,3.0,0.0036023419620141,1,no_escape
as,c5,S1,3.0,0.0036023419620141,2,no_escape
as,c5,S1,3.0,0.0036023419620141,3,no_escape
as,c5,S1,3.0,0.0036023419620141,4,no_escape
as,c5,S1,4.0,0.0048031226160188,0,no_escape
as,c5,S1,4.0,0.0048031226160188,1,no_escape
as,c5,S1,4.0,0.0048031226160188,2,no_escape
as,c5,S1,4.0,0.0048031226160188,3,no_escape
as,c5,S1,4.0,0.0048031226160188,4,no_escape
as,c5,S1,6.0,0.0072046839240282,0,no_escape
as,c5,S1,6.0,0.0072046839240282,1,no_escape
as,c5,S1,6.0,0.0072046839240282,2,no_escape
as,c5,S1,6.0,0.0072046839240282,3,no_escape
as,c5,S1,6.0,0.0072046839240282,4,no_escape
asbs,w5,S3,0.5,0.0005282011507589,0,no_escape
asbs,w5,S3,0.5,0.0005282011507589,1,no_escape
asbs,w5,S3,0.5,0.0005282011507589,2,no_escape
asbs,w5,S3,0.5,0.0005282011507589,3,no_escape
asbs,w5,S3,0.5,0.0005282011507589,4,no_escape
asbs,w5,S3,1.0,0.0010564023015178,0,no_escape
asbs,w5,S3,1.0,0.0010564023015178,1,no_escape
asbs,w5,S3,1.0,0.0010564023015178,2,no_escape
asbs,w5,S3,1.0,0.0010564023015178,3,no_escape
asbs,w5,S3,1.0,0.0010564023015178,4,no_escape
asbs,w5,S3,1.5,0.0015846034522767,0,no_escape
asbs,w5,S3,1.5,0.0015846034522767,1,no_escape
asbs,w5,S3,1.5,0.0015846034522767,2,no_escape
asbs,w5,S3,1.5,0.0015846034522767,3,no_escape
asbs,w5,S3,1.5,0.0015846034522767,4,no_escape
asbs,w5,S3,2.0,0.0021128046030356,0,no_escape
asbs,w5,S3,2.0,0.0021128046030356,1,no_escape
asbs,w5,S3,2.0,0.0021128046030356,2,no_escape
asbs,w5,S3,2.0,0.0021128046030356,3,no_escape
asbs,w5,S3,2.0,0.0021128046030356,4,no_escape
asbs,w5,S3,2.5,0.0026410057537945,0,no_escape
asbs,w5,S3,2.5,0.0026410057537945,1,no_escape
asbs,w5,S3,2.5,0.0026410057537945,2,no_escape
asbs,w5,S3,2.5,0.0026410057537945,3,no_escape
asbs,w5,S3,2.5,0.0026410057537945,4,no_escape
asbs,w5,S3,3.0,0.0031692069045534,0,no_escape
asbs,w5,S3,3.0,0.0031692069045534,1,no_escape
asbs,w5,S3,3.0,0.0031692069045534,2,no_escape
asbs,w5,S3,3.0,0.0031692069045534,3,no_escape
asbs,w5,S3,3.0,0.0031692069045534,4,no_escape
asbs,w5,S3,4.0,0.0042256092060712,0,no_escape
asbs,w5,S3,4.0,0.0042256092060712,1,no_escape
asbs,w5,S3,4.0,0.0042256092060712,2,no_escape
asbs,w5,S3,4.0,0.0042256092060712,3,no_escape
asbs,w5,S3,4.0,0.0042256092060712,4,no_escape
asbs,w5,S3,6.0,0.0063384138091068,0,no_escape
asbs,w5,S3,6.0,0.0063384138091068,1,no_escape
asbs,w5,S3,6.0,0.0063384138091068,2,no_escape
asbs,w5,S3,6.0,0.0063384138091068,3,no_escape
asbs,w5,S3,6.0,0.0063384138091068,4,no_escape
asbs,w5,S2,0.5,0.0006276826595233,0,no_escape
asbs,w5,S2,0.5,0.0006276826595233,1,no_escape
asbs,w5,S2,0.5,0.0006276826595233,2,no_escape
asbs,w5,S2,0.5,0.0006276826595233,3,no_escape
asbs,w5,S2,0.5,0.0006276826595233,4,no_escape
asbs,w5,S2,1.0,0.0012553653190466,0,no_escape
asbs,w5,S2,1.0,0.0012553653190466,1,no_escape
asbs,w5,S2,1.0,0.0012553653190466,2,no_escape
asbs,w5,S2,1.0,0.0012553653190466,3,no_escape
asbs,w5,S2,1.0,0.0012553653190466,4,no_escape
asbs,w5,S2,1.5,0.0018830479785699,0,no_escape
asbs,w5,S2,1.5,0.0018830479785699,1,no_escape
asbs,w5,S2,1.5,0.0018830479785699,2,no_escape
asbs,w5,S2,1.5,0.0018830479785699,3,no_escape
asbs,w5,S2,1.5,0.0018830479785699,4,no_escape
asbs,w5,S2,2.0,0.0025107306380932,0,no_escape
asbs,w5,S2,2.0,0.0025107306380932,1,no_escape
asbs,w5,S2,2.0,0.0025107306380932,2,no_escape
asbs,w5,S2,2.0,0.0025107306380932,3,no_escape
asbs,w5,S2,2.0,0.0025107306380932,4,no_escape
asbs,w5,S2,2.5,0.0031384132976164996,0,no_escape
asbs,w5,S2,2.5,0.0031384132976164996,1,no_escape
asbs,w5,S2,2.5,0.0031384132976164996,2,no_escape
asbs,w5,S2,2.5,0.0031384132976164996,3,no_escape
asbs,w5,S2,2.5,0.0031384132976164996,4,no_escape
asbs,w5,S2,3.0,0.0037660959571398,0,no_escape
asbs,w5,S2,3.0,0.0037660959571398,1,no_escape
asbs,w5,S2,3.0,0.0037660959571398,2,no_escape
asbs,w5,S2,3.0,0.0037660959571398,3,no_escape
asbs,w5,S2,3.0,0.0037660959571398,4,no_escape
asbs,w5,S2,4.0,0.0050214612761864,0,no_escape
asbs,w5,S2,4.0,0.0050214612761864,1,no_escape
asbs,w5,S2,4.0,0.0050214612761864,2,no_escape
asbs,w5,S2,4.0,0.0050214612761864,3,no_escape
asbs,w5,S2,4.0,0.0050214612761864,4,no_escape
asbs,w5,S2,6.0,0.0075321919142796,0,no_escape
asbs,w5,S2,6.0,0.0075321919142796,1,no_escape
asbs,w5,S2,6.0,0.0075321919142796,2,no_escape
asbs,w5,S2,6.0,0.0075321919142796,3,no_escape
asbs,w5,S2,6.0,0.0075321919142796,4,no_escape
asbs,c5,S2,0.5,0.0006313350740774,0,no_escape
asbs,c5,S2,0.5,0.0006313350740774,1,no_escape
asbs,c5,S2,0.5,0.0006313350740774,2,no_escape
asbs,c5,S2,0.5,0.0006313350740774,3,no_escape
asbs,c5,S2,0.5,0.0006313350740774,4,no_escape
asbs,c5,S2,1.0,0.0012626701481548,0,no_escape
asbs,c5,S2,1.0,0.0012626701481548,1,no_escape
asbs,c5,S2,1.0,0.0012626701481548,2,no_escape
asbs,c5,S2,1.0,0.0012626701481548,3,no_escape
asbs,c5,S2,1.0,0.0012626701481548,4,no_escape
asbs,c5,S2,1.5,0.0018940052222322001,0,no_escape
asbs,c5,S2,1.5,0.0018940052222322001,1,no_escape
asbs,c5,S2,1.5,0.0018940052222322001,2,no_escape
asbs,c5,S2,1.5,0.0018940052222322001,3,no_escape
asbs,c5,S2,1.5,0.0018940052222322001,4,no_escape
asbs,c5,S2,2.0,0.0025253402963096,0,no_escape
asbs,c5,S2,2.0,0.0025253402963096,1,no_escape
asbs,c5,S2,2.0,0.0025253402963096,2,no_escape
asbs,c5,S2,2.0,0.0025253402963096,3,no_escape
asbs,c5,S2,2.0,0.0025253402963096,4,no_escape
asbs,c5,S2,2.5,0.003156675370387,0,no_escape
asbs,c5,S2,2.5,0.003156675370387,1,no_escape
asbs,c5,S2,2.5,0.003156675370387,2,no_escape
asbs,c5,S2,2.5,0.003156675370387,3,no_escape
asbs,c5,S2,2.5,0.003156675370387,4,no_escape
asbs,c5,S2,3.0,0.0037880104444644003,0,no_escape
asbs,c5,S2,3.0,0.0037880104444644003,1,no_escape
asbs,c5,S2,3.0,0.0037880104444644003,2,no_escape
asbs,c5,S2,3.0,0.0037880104444644003,3,no_escape
asbs,c5,S2,3.0,0.0037880104444644003,4,no_escape
asbs,c5,S2,4.0,0.0050506805926192,0,no_escape
asbs,c5,S2,4.0,0.0050506805926192,1,no_escape
asbs,c5,S2,4.0,0.0050506805926192,2,no_escape
asbs,c5,S2,4.0,0.0050506805926192,3,no_escape
asbs,c5,S2,4.0,0.0050506805926192,4,no_escape
asbs,c5,S2,6.0,0.0075760208889288005,0,no_escape
asbs,c5,S2,6.0,0.0075760208889288005,1,no_escape
asbs,c5,S2,6.0,0.0075760208889288005,2,no_escape
asbs,c5,S2,6.0,0.0075760208889288005,3,no_escape
asbs,c5,S2,6.0,0.0075760208889288005,4,no_escape
as,w5,S0,0.5,0.0005376469701834,0,no_escape
as,w5,S0,0.5,0.0005376469701834,1,no_escape
as,w5,S0,0.5,0.0005376469701834,2,no_escape
as,w5,S0,0.5,0.0005376469701834,3,no_escape
as,w5,S0,0.5,0.0005376469701834,4,no_escape
as,w5,S0,1.0,0.0010752939403668,0,no_escape
as,w5,S0,1.0,0.0010752939403668,1,no_escape
as,w5,S0,1.0,0.0010752939403668,2,no_escape
as,w5,S0,1.0,0.0010752939403668,3,no_escape
as,w5,S0,1.0,0.0010752939403668,4,no_escape
as,w5,S0,1.5,0.0016129409105502001,0,no_escape
as,w5,S0,1.5,0.0016129409105502001,1,no_escape
as,w5,S0,1.5,0.0016129409105502001,2,no_escape
as,w5,S0,1.5,0.0016129409105502001,3,no_escape
as,w5,S0,1.5,0.0016129409105502001,4,no_escape
as,w5,S0,2.0,0.0021505878807336,0,no_escape
as,w5,S0,2.0,0.0021505878807336,1,no_escape
as,w5,S0,2.0,0.0021505878807336,2,no_escape
as,w5,S0,2.0,0.0021505878807336,3,no_escape
as,w5,S0,2.0,0.0021505878807336,4,no_escape
as,w5,S0,2.5,0.002688234850917,0,no_escape
as,w5,S0,2.5,0.002688234850917,1,no_escape
